Location,Date_Time,Temperature_C,Humidity_pct,Precipitation_mm,Wind_Speed_kmh
Chicago,10-03-2024 17:21,16.29630026,78.97181121,7.620580893,15.92830379
Los Angeles,07-02-2024 10:27,11.11473559,87.44176941,2.900566329,3.381471032
Phoenix,27-04-2024 06:26,25.63964736,51.48422117,3.615656565,28.16348867
Los Angeles,30-03-2024 05:43,30.69613858,41.86740255,2.813542693,16.5026067
San Antonio,19-04-2024 03:03,-5.572413408,52.16758645,0.256806244,7.343845265
Los Angeles,07-03-2024 16:33,37.92508051,86.85769317,3.188870999,0.283988463
San Jose,14-01-2024 02:56,21.33653701,87.06882978,5.468114563,24.87053989
San Jose,28-02-2024 12:40,-2.780307591,59.55001663,1.206406826,6.786654213
San Jose,13-01-2024 07:04,11.24563083,30.27142074,3.690019336,9.512257177
Phoenix,07-04-2024 03:17,28.22483268,62.95857048,6.261639654,24.53962846
Philadelphia,17-01-2024 01:25,-0.89289584,64.61219787,2.396576686,17.64532553
San Antonio,02-05-2024 20:53,10.98163565,60.42101042,1.757713771,19.30679835
Houston,08-01-2024 01:13,19.07881386,59.14744394,3.919880976,16.29309007
Houston,28-03-2024 06:51,0.192526813,89.74594643,3.398388663,12.26096686
Dallas,11-01-2024 02:44,26.91981678,79.60488302,2.015224501,10.98852814
Dallas,05-03-2024 00:01,-6.827565288,81.45429969,3.444016709,23.07233636
Chicago,11-01-2024 07:59,16.52546205,44.27893789,8.81208886,4.2941453
San Diego,18-02-2024 17:02,37.97593835,67.78470392,1.825992181,14.39392132
Phoenix,12-03-2024 18:35,12.70999346,39.33249656,4.598393426,13.18544579
Chicago,01-01-2024 01:37,-7.390733722,35.36340338,0.734173781,11.41157352
San Jose,12-03-2024 19:52,3.012631131,42.18797778,1.617704576,15.74190304
San Diego,16-05-2024 06:16,6.148464065,58.94542206,7.229230548,0.101045153
San Antonio,19-02-2024 23:05,-4.475785277,64.16415902,6.593949791,6.780639103
San Diego,15-02-2024 18:23,0.057888537,73.78606739,1.133994878,13.45412087
